city,country,region,latitude,longitude,cost_per_day_usd,avg_temp_c,beach,culture,nature,nightlife,food,adventure,relaxation,popularity,safety,temp_month_1,temp_month_2,temp_month_3,temp_month_4,temp_month_5,temp_month_6,temp_month_7,temp_month_8,temp_month_9,temp_month_10,temp_month_11,temp_month_12,source_dataset,description
Jerusalem,Israel,middle_east,31.7683,35.2137,155,18.1,2,10,6,5,9,6,6,10,7,9.0,9.9,12.7,17.3,21.3,23.9,25.6,25.3,23.7,20.6,16.1,11.4,voyagematch_curated_israel,"Ancient streets, sacred landmarks, lively markets, and layered neighborhoods create an intense cultural journey through thousands of years of history."
Tel Aviv,Israel,middle_east,32.0853,34.7818,175,20.8,10,7,5,10,10,7,8,10,7,13.4,13.7,16.0,18.9,22.2,25.0,27.3,27.8,26.6,23.9,19.8,15.6,voyagematch_curated_israel,"Mediterranean beaches, Bauhaus architecture, energetic nightlife, and a celebrated food scene give the city a relaxed but fast-moving coastal character."
Haifa,Israel,middle_east,32.794,34.9896,135,19.6,7,8,9,5,8,7,8,8,8,12.6,12.7,14.7,17.2,20.3,23.1,25.7,26.3,25.4,23.0,19.0,14.8,voyagematch_curated_israel,"Green slopes descend toward the Mediterranean, combining the Bahai Gardens, diverse neighborhoods, beaches, and easy access to northern landscapes."
Eilat,Israel,middle_east,29.5577,34.9519,165,25.1,10,4,8,7,8,10,9,9,8,15.5,16.7,20.2,24.8,28.8,31.8,33.5,33.1,30.6,26.7,22.0,17.4,voyagematch_curated_israel,"Red Sea coral reefs, desert mountains, warm weather, and water activities make Eilat a bright escape for beaches, diving, and outdoor adventure."
Tiberias,Israel,middle_east,32.7959,35.5312,120,22.5,5,8,8,4,8,7,8,7,7,13.8,14.2,16.9,20.9,25.1,28.0,30.0,30.2,28.8,25.8,20.8,16.0,voyagematch_curated_israel,"Set beside the Sea of Galilee, Tiberias offers lakeside relaxation, religious history, warm springs, and a useful base for exploring northern Israel."
Nazareth,Israel,middle_east,32.6996,35.3035,110,19.1,1,10,7,3,9,5,7,8,8,10.9,11.3,13.9,17.6,21.3,23.9,26.1,26.3,24.9,22.1,17.8,13.1,voyagematch_curated_israel,"Historic churches, a traditional old city, market lanes, and distinctive Arab cuisine make Nazareth a strong destination for culture and local food."
Ein Gedi,Israel,middle_east,31.45,35.3833,145,25.4,2,6,10,1,6,9,9,7,8,16.2,16.9,20.1,24.8,28.7,31.2,33.3,32.9,31.1,27.8,23.0,18.4,voyagematch_curated_israel,"A desert oasis near the Dead Sea, Ein Gedi combines canyon hikes, waterfalls, wildlife, dramatic landscapes, and quiet restorative time."
Milan,Italy,europe,45.4641943,9.1896346,240,14.75,2,10,4,8,10,4,6,10,7,3.7,7.1,10.5,13.8,17.9,23.5,25.8,25.2,20.8,15.2,8.8,4.7,kaggle_worldwide_travel_cities,"Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration."
Yasawa Islands,Fiji,oceania,-17.2909471,177.12578580330327,240,26.974999999999998,10,4,10,4,6,8,8,2,7,28.0,28.0,26.9,28.0,27.4,26.2,26.1,25.5,26.3,26.0,27.1,28.2,kaggle_worldwide_travel_cities,"Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty."
Whistler,Canada,north_america,50.1171903,-122.9543022,240,6.808333333333333,4,6,10,6,6,10,8,4,7,-2.5,-1.8,0.2,4.6,9.0,14.1,18.2,17.8,14.5,7.6,1.8,-1.8,kaggle_worldwide_travel_cities,"Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air."
